sentence_id,file,sentence,cited_keys,survey_arxiv_id,survey_title,cited_keys_split,n_cited_keys,n_resolved,resolved_titles,resolved_authors,resolved_years,resolved_abstracts,resolved_context,resolution_source
s0000,acl_latex.tex,"This exposes a core contradiction: while LLMs excel at \textit{synthetic code-mixed data generation} \citep{pratapa-etal-2018-language, winata-etal-2019-code}, they remain fragile in \textit{zero-shot transfer} to naturalistic CSW, with sharp accuracy drops and sensitivity to pretraining language choice \citep{zhang-etal-2023-multilingual, tatariya-etal-2023-transfer, 11016028}.","pratapa-etal-2018-language, winata-etal-2019-code;zhang-etal-2023-multilingual, tatariya-etal-2023-transfer, 11016028",2510.07037,Beyond Monolingual Assumptions: A Survey on Code-Switched {NLP} in the Era of Large Language Models across Modalities,pratapa-etal-2018-languagewinata-etal-2019-codezhang-etal-2023-multilingualtatariya-etal-2023-transfer11016028,5,5,Language Modeling for Code-Mixing: The Role of Linguistic Theory based Synthetic DataCode-Switched Language Models Using Neural Based Synthetic Data from Parallel SentencesMultilingual Large Language Models Are Not (Yet) Code-SwitchersTransfer Learning for Code-Mixed Data: Do Pretraining Languages Matter?An Adapted Few-Shot Prompting Technique Using ChatGPT to Advance Low-Resource Languages Understanding,"Pratapa, Adithya and Bhat, Gayatri and Choudhury, Monojit and Sitaram, Sunayana and Dandapat, Sandipan and Bali, KalikaWinata, Genta Indra and Madotto, Andrea and Wu, Chien-Sheng and Fung, PascaleZhang, Ruochen and Cahyawijaya, Samuel and Cruz, Jan Christian Blaise and Winata, Genta and Aji, Alham FikriTatariya, Kushal and Lent, Heather and de Lhoneux, MiryamTahery, Saedeh and Farzi, Saeed",20182019202320232025,,"pratapa-etal-2018-language, title = ""Language Modeling for Code-Mixing: The Role of Linguistic Theory based Synthetic Data"", author = ""Pratapa, Adithya and Bhat, Gayatri and Choudhury, Monojit and Sitaram, Sunayana and Dandapat, Sandipan and Bali, Kalika"", editor = ""Gurevych, Iryna and Miyao, Yusuke"", booktitle = ""Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"", month = jul, year = ""2018"", address = ""Melbourne, Australia"", publisher = ""Association for Computational Linguistics"", url = ""https://aclanthology.org/P18-1143/"", doi = ""10.18653/v1/P18-1143"", pages = ""1543--1553"",winata-etal-2019-code, title = ""Code-Switched Language Models Using Neural Based Synthetic Data from Parallel Sentences"", author = ""Winata, Genta Indra and Madotto, Andrea and Wu, Chien-Sheng and Fung, Pascale"", editor = ""Bansal, Mohit and Villavicencio, Aline"", booktitle = ""Proceedings of the 23rd Conference on Computational Natural Language Learning (CoNLL)"", month = nov, year = ""2019"", address = ""Hong Kong, China"", publisher = ""Association for Computational Linguistics"", url = ""https://aclanthology.org/K19-1026/"", doi = ""10.18653/v1/K19-1026"", pages = ""271--280"",zhang-etal-2023-multilingual, title = ""Multilingual Large Language Models Are Not (Yet) Code-Switchers"", author = ""Zhang, Ruochen and Cahyawijaya, Samuel and Cruz, Jan Christian Blaise and Winata, Genta and Aji, Alham Fikri"", editor = ""Bouamor, Houda and Pino, Juan and Bali, Kalika"", booktitle = ""Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing"", month = dec, year = ""2023"", address = ""Singapore"", publisher = ""Association for Computational Linguistics"", url = ""https://aclanthology.org/2023.emnlp-main.774/"", doi = ""10.18653/v1/2023.emnlp-main.774"", pages = ""12567--12582"",tatariya-etal-2023-transfer, title = ""Transfer Learning for Code-Mixed Data: Do Pretraining Languages Matter?"", author = ""Tatariya, Kushal and Lent, Heather and de Lhoneux, Miryam"", editor = ""Barnes, Jeremy and De Clercq, Orph{\'e}e and Klinger, Roman"", booktitle = ""Proceedings of the 13th Workshop on Computational Approaches to Subjectivity, Sentiment, {\&} Social Media Analysis"", month = jul, year = ""2023"", address = ""Toronto, Canada"", publisher = ""Association for Computational Linguistics"", url = ""https://aclanthology.org/2023.wassa-1.32/"", doi = ""10.18653/v1/2023.wassa-1.32"", pages = ""365--378"",11016028, author={Tahery, Saedeh and Farzi, Saeed}, journal={IEEE Access}, title={An Adapted Few-Shot Prompting Technique Using ChatGPT to Advance Low-Resource Languages Understanding}, year={2025}, volume={13}, number={}, pages={93614-93628}, keywords={Multilingual;Adaptation models;Chatbots;Data models;Training;Natural language processing;Large language models;Buildings;Translation;Transfer learning;ChatGPT;few-shot prompting;language understanding tasks;large language models;low-resource languages}, doi={10.1109/ACCESS.2025.3574115}",bibbibbibbibbib
s0001,acl_latex.tex,"Given its multifaceted nature, can bias enhance equitable representativeness across all groups, including marginalized ones?\footnote{Studies affirming LLMs' algorithmic fidelity, e.g.,~\citeauthor{argyle2023out,kim2023ai}, do not explicitly define bias.} In this review, we attempt to find the current consensus w.r.t to the demographic representativeness of LLMs and unearth potential reasons behind seemingly conflicting findings.","argyle2023out,kim2023ai",2511.01864,Missing the Margins: A Systematic Literature Review on the Demographic Representativeness of {LLM}s,argyle2023outkim2023ai,2,2,"Out of one, many: Using language models to simulate human samples.Ai-augmented surveys: Leveraging large language models and surveys for opinion prediction.",,,,"Lisa P Argyle, Ethan C Busby, Nancy Fulda, Joshua R Gubler, Christopher Rytting, and David Wingate. 2023. Out of one, many: Using language models to simulate human samples. Political Analysis, 31(3):337--351.Junsol Kim and Byungkyu Lee. 2023. Ai-augmented surveys: Leveraging large language models and surveys for opinion prediction. arXiv preprint arXiv:2305.09620.",bblbbl
s0002,acl_latex.tex,"Some studies (\citet{argyle2023out,kim2023ai} \textit{inter alia}) argue that LLM biases enhance subgroup representation, while others highlight contradictions between bias and representativeness~\cite{ferrara2023should,wang2024largelanguagemodelsreplace}.","argyle2023out,kim2023ai;ferrara2023should,wang2024largelanguagemodelsreplace",2511.01864,Missing the Margins: A Systematic Literature Review on the Demographic Representativeness of {LLM}s,argyle2023outkim2023aiferrara2023shouldwang2024largelanguagemodelsreplace,4,4,"Out of one, many: Using language models to simulate human samples.Ai-augmented surveys: Leveraging large language models and surveys for opinion prediction.Should chatgpt be biased? challenges and risks of bias in large language models.Large language models should not replace human participants because they can misportray and flatten identity groups",,,,"Lisa P Argyle, Ethan C Busby, Nancy Fulda, Joshua R Gubler, Christopher Rytting, and David Wingate. 2023. Out of one, many: Using language models to simulate human samples. Political Analysis, 31(3):337--351.Junsol Kim and Byungkyu Lee. 2023. Ai-augmented surveys: Leveraging large language models and surveys for opinion prediction. arXiv preprint arXiv:2305.09620.Emilio Ferrara. 2023{\natexlab{b}}. Should chatgpt be biased? challenges and risks of bias in large language models. arXiv preprint arXiv:2304.03738.Angelina Wang, Jamie Morgenstern, and John P. Dickerson. 2024{\natexlab{a}}. Large language models should not replace human participants because they can misportray and flatten identity groups. Preprint, arXiv:2402.01908.",bblbblbblbbl
s0003,acl_latex.tex,"% Unpacking the disagreements on representativeness found in this review, we note that marginalized groups are underrepresented and underserved by LLMs~\cite{wang2024largelanguagemodelsreplace,cheng2023compost}.","wang2024largelanguagemodelsreplace,cheng2023compost",2511.01864,Missing the Margins: A Systematic Literature Review on the Demographic Representativeness of {LLM}s,wang2024largelanguagemodelsreplacecheng2023compost,2,2,Large language models should not replace human participants because they can misportray and flatten identity groupsCompost: Characterizing and evaluating caricature in llm simulations.,,,,"Angelina Wang, Jamie Morgenstern, and John P. Dickerson. 2024{\natexlab{a}}. Large language models should not replace human participants because they can misportray and flatten identity groups. Preprint, arXiv:2402.01908.Myra Cheng, Tiziano Piccardi, and Diyi Yang. 2023{\natexlab{b}}. Compost: Characterizing and evaluating caricature in llm simulations. arXiv preprint arXiv:2310.11501.",bblbbl
s0005,introduction.tex,"In contrast to other countries in the region, the establishment of a narrative of European descendance has historically shaped the sociopolitical and cultural agenda, marginalizing the Indigenous population and creating a lack of social awareness regarding the cultural diversity of the country \citep{quijadaNationalMyths2004,adamovskyColorNacionArgentina2012}.","quijadaNationalMyths2004,adamovskyColorNacionArgentina2012",2501.09943,Indigenous Languages Spoken in {A}rgentina: A Survey of {NLP} and Speech Resources,quijadaNationalMyths2004adamovskyColorNacionArgentina2012,2,2,"\emph{De Mitos Nacionales, Definiciones Cívicas y Clasificaciones Grupales. Los Índígenas en la Construcción Nacional Argentina, siglos XIX y XX.El color de la nación argentina: conflictos y negociaciones por la definición de un ethnos nacional, de la crisis al Bicentenario","Adamovsky, Ezequiel Agustin",2012,"This article analyses the emergence of a non-diasporic “negro” identity in Argentina in the past three decades, as a reaction against discrimination of the poor on “racial” grounds. Although this discrimination is not new, the narrative of the white-European nation sponsored by the State made it almost impossible to confront it, or at least not openly. However, the weakening of the Nation-state as the aftermath of economic and political crisis opened up a new space for renego­tiating the definition of the Argentinean ethnos. By examining different manifes­tations of lower class culture - from the spread of afro-Brazilian religions to mur­gas in carnival, and from popular music to political appeals - this article explores the ethnic dimension to class identities in recent Argentinean histor","Mónica Quijada. 2004. De Mitos Nacionales, Definiciones Cívicas y Clasificaciones Grupales. Los Índígenas en la Construcción Nacional Argentina, siglos XIX y XX. Calidoscopio latinoamericano coord. Waldo Ansaldi, 425-450, Buenos Aires.adamovskyColorNacionArgentina2012, title = {El color de la nación argentina: conflictos y negociaciones por la definición de un ethnos nacional, de la crisis al Bicentenario}, shorttitle = {El color de la nación argentina}, author = {Adamovsky, Ezequiel Agustin}, year = {2012}, publisher = {De Gruyter}, issn = {1438-4752}, journal={Jahrbuch für Geschichte Lateinamerikas}, url = {https://ri.conicet.gov.ar/handle/11336/26581}, urlyear = {2024-04-01}, abstract = {This article analyses the emergence of a non-diasporic “negro” identity in Argentina in the past three decades, as a reaction against discrimination of the poor on “racial” grounds. Although this discrimination is not new, the narrative of the white-European nation sponsored by the State made it almost impossible to confront it, or a",bblbib
s0007,emnlp2023.tex,"In contrast to previous surveys on multimodal fact-checking that focus on individual subtasks ~\citep{DBLP:journals/corr/abs-2003-05096, alam-etal-2022-survey,DBLP:journals/corr/abs-2203-13883}, we consider all subtasks %the whole pipeline, %as a whole, surveying benchmarks and modeling approaches for them.","DBLP:journals/corr/abs-2003-05096, alam-etal-2022-survey,DBLP:journals/corr/abs-2203-13883",2305.13507,Multimodal Automated Fact-Checking: A Survey,DBLP:journals/corr/abs-2003-05096alam-etal-2022-surveyDBLP:journals/corr/abs-2203-13883,3,3,"Exploring the role of visual content in fake news detectionA survey on multimodal disinformation detectionMulti-modal misinformation detection: Approaches, challenges and opportunities",,,,"Juan Cao, Peng Qi, Qiang Sheng, Tianyun Yang, Junbo Guo, and Jintao Li. 2020. Exploring the role of visual content in fake news detection. CoRR, abs/2003.05096.Firoj Alam, Stefano Cresci, Tanmoy Chakraborty, Fabrizio Silvestri, Dimiter Dimitrov, Giovanni Da San Martino, Shaden Shaar, Hamed Firooz, and Preslav Nakov. 2022. A survey on multimodal disinformation detection. In Proceedings of the 29th International Conference on Computational Linguistics, pages 6625--6643, Gyeongju, Republic of Korea. International Committee on Computational Linguistics.Sara Abdali. 2022. Multi-modal misinformation detection: Approaches, challenges and opportunities. CoRR, abs/2203.13883.",bblbblbbl
s0008,emnlp2023.tex,"%This is in contrast to previous surveys on multimodal fact-checking~\citep{DBLP:journals/corr/abs-2003-05096, alam-etal-2022-survey,DBLP:journals/corr/abs-2203-13883} focusing % While a growing body of work is surveying multimodal fact-checking~\citep{DBLP:journals/corr/abs-2203-13883, DBLP:journals/corr/abs-2003-05096, alam-etal-2022-survey}, they focus %on individual subtasks of the fact-checking pipeline, rather than discussing the entire process and surveying benchmarks and modeling approac","DBLP:journals/corr/abs-2003-05096, alam-etal-2022-survey,DBLP:journals/corr/abs-2203-13883;DBLP:journals/corr/abs-2203-13883, DBLP:journals/corr/abs-2003-05096, alam-etal-2022-survey",2305.13507,Multimodal Automated Fact-Checking: A Survey,DBLP:journals/corr/abs-2003-05096alam-etal-2022-surveyDBLP:journals/corr/abs-2203-13883,3,3,"Exploring the role of visual content in fake news detectionA survey on multimodal disinformation detectionMulti-modal misinformation detection: Approaches, challenges and opportunities",,,,"Juan Cao, Peng Qi, Qiang Sheng, Tianyun Yang, Junbo Guo, and Jintao Li. 2020. Exploring the role of visual content in fake news detection. CoRR, abs/2003.05096.Firoj Alam, Stefano Cresci, Tanmoy Chakraborty, Fabrizio Silvestri, Dimiter Dimitrov, Giovanni Da San Martino, Shaden Shaar, Hamed Firooz, and Preslav Nakov. 2022. A survey on multimodal disinformation detection. In Proceedings of the 29th International Conference on Computational Linguistics, pages 6625--6643, Gyeongju, Republic of Korea. International Committee on Computational Linguistics.Sara Abdali. 2022. Multi-modal misinformation detection: Approaches, challenges and opportunities. CoRR, abs/2203.13883.",bblbblbbl
