sentence_id,file,sentence,cited_keys,survey_arxiv_id,survey_title,cited_keys_split,n_cited_keys,n_resolved,resolved_titles,resolved_authors,resolved_years,resolved_abstracts,resolved_context,resolution_source
s0003,evaluation.tex,"This is similar in spirit to the question about jokehood asked by \citeA{Binsted1997}, in contrast to the more explicitly extrinsic evaluation of the {\sc standup} joke generator by \citeA{Waller2009}, which asked whether the system actually helped users improve their interactions with peers.",Binsted1997;Waller2009,1703.09902,"Survey of the State of the Art in Natural Language Generation: Core tasks, applications and evaluation",Binsted1997Waller2009,2,2,\BBOQ {Children's evaluation of computer-generated punning riddles}\BBCQ\\BBOQ {Evaluating the STANDUP Pun Generating Software with Children with Cerebral Palsy}\BBCQ\,,,,"Binsted, K., Pain, H., \BBA\ Ritchie, G. D. \BBOP1997\BBCP. \BBOQ {Children's evaluation of computer-generated punning riddles}\BBCQ\ {\Bem Pragmatics \& Cognition}, {\Bem 5\/}(2), 305--354.Waller, A., Black, R., {O'Mara}, D., Pain, H., Ritchie, G. D., \BBA\ Manurung, R. \BBOP2009\BBCP. \BBOQ {Evaluating the STANDUP Pun Generating Software with Children with Cerebral Palsy}\BBCQ\ {\Bem ACM Transactions on Accessible Computing}, {\Bem 1\/}(3), 1--27.",bblbbl
s0005,sn-article.tex,"In contrast to text classification, lexical systems that use different weighting and normalization of exact term matching methods, such as BM25~\citep{10.1561/1500000019}, are strong baselines in IR~\citep{trec-fair-ranking-2021}.",10.1561/1500000019;trec-fair-ranking-2021,2412.15831,Enriching Social Science Research via Survey Item Linking,10.1561/1500000019trec-fair-ranking-2021,2,2,,,,,"\begin{barticle} \bauthor{\bsnm{Robertson}, \binits{S.}}, \bauthor{\bsnm{Zaragoza}, \binits{H.}}: \batitle{The probabilistic relevance framework: Bm25 and beyond}. \bjtitle{Found. Trends Inf. Retr.} \bvolume{3}(\bissue{4}), \bfpage{333}--\blpage{389} (\byear{2009}) \doiurl{10.1561/1500000019} \end{barticle} \endbibitem %%% 85\begin{bchapter} \bauthor{\bsnm{Ekstrand}, \binits{M.D.}}, \bauthor{\bsnm{McDonald}, \binits{G.}}, \bauthor{\bsnm{Raj}, \binits{A.}}, \bauthor{\bsnm{Johnson}, \binits{I.}}: \bctitle{Overview of the trec 2021 fair ranking track}. In: \bbtitle{The Thirtieth Text REtrieval Conference (TREC 2021) Proceedings} (\byear{2022}). \burl{\url{https://arxiv.org/abs/2302.10856}} \end{bchapter} \endbibitem %%% 86",bblbbl
s0006,final.tex,"\citet{ollagnier-2024-cyberagressionado} introduces a tagset for annotating discursive roles in cyberbullying, while \citet{sap-etal-2019-social} and \citet{sap-etal-2020-social} provide benchmarks for reasoning about social norms, biases, and power dynamics.",ollagnier-2024-cyberagressionado;sap-etal-2019-social;sap-etal-2020-social,2502.12378,"Pragmatics in the Era of Large Language Models: A Survey on Datasets, Evaluation, Opportunities and Challenges",ollagnier-2024-cyberagressionadosap-etal-2019-socialsap-etal-2020-social,3,3,{CSocial {IQSocial bias frames: Reasoning about social and power implications of language,,,,"Anais Ollagnier. 2024. {Cyber{A}gression{A}do-v2: Leveraging pragmatic-level information to decipher online hate in {F}rench multiparty chats}. In Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024), pages 4287--4298, Torino, Italia. ELRA and ICCL.Maarten Sap, Hannah Rashkin, Derek Chen, Ronan Le Bras, and Yejin Choi. 2019. Social {IQa: Commonsense reasoning about social interactions}. In Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP), pages 4463--4473, Hong Kong, China. Association for Computational Linguistics.Maarten Sap, Saadia Gabriel, Lianhui Qin, Dan Jurafsky, Noah A. Smith, and Yejin Choi. 2020. Social bias frames: Reasoning about social and power implications of language. In Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics, pages 5477--5490, Online. Association for Computational Linguistics.",bblbblbbl
s0013,6nlg.tex,"\noindent\textbf{Unsupervised segmentation}: Different from \citet{abe-etal-2011-example} who focus on characters, ~\citet{al-mannai-etal-2014-unsupervised,salloum2022unsupervised} work on Arabic \redtext{dialectal} translation\orangetext{,} which shows that unsupervised word segmentation \redtext{is just as effective if not better} for translation into English.","abe-etal-2011-example;al-mannai-etal-2014-unsupervised,salloum2022unsupervised",2401.05632,Natural Language Processing for Dialects of a Language: A Survey,abe-etal-2011-exampleal-mannai-etal-2014-unsupervisedsalloum2022unsupervised,3,3,Example-based Translation of {J}apanese Functional Expressions utilizing Semantic Equivalence ClassesUnsupervised Word Segmentation Improves Dialectal {A}rabic to {E}nglish Machine TranslationUnsupervised Arabic dialect segmentation for machine translation,"Abe, Yusuke and Suzuki, Takafumi and Liang, Bing and Utsuro, Takehito and Yamamoto, Mikio and Matsuyoshi, Suguru and Kawada, YasuhideAl-Mannai, Kamla and Sajjad, Hassan and Khader, Alaa and Al Obaidli, Fahad and Nakov, Preslav and Vogel, StephanSalloum, Wael and Habash, Nizar",201120142022,,"abe-etal-2011-example, title = ""Example-based Translation of {J}apanese Functional Expressions utilizing Semantic Equivalence Classes"", author = ""Abe, Yusuke and Suzuki, Takafumi and Liang, Bing and Utsuro, Takehito and Yamamoto, Mikio and Matsuyoshi, Suguru and Kawada, Yasuhide"", booktitle = ""4th Workshop on Patent Translation"", month = sep # "" 23"", year = ""2011"", address = ""Xiamen, China"", url = ""https://aclanthology.org/2011.mtsummit-wpt.10"",al-mannai-etal-2014-unsupervised, title = ""Unsupervised Word Segmentation Improves Dialectal {A}rabic to {E}nglish Machine Translation"", author = ""Al-Mannai, Kamla and Sajjad, Hassan and Khader, Alaa and Al Obaidli, Fahad and Nakov, Preslav and Vogel, Stephan"", booktitle = ""Workshop on Arabic Natural Language Processing"", month = oct, year = ""2014"", address = ""Doha, Qatar"", publisher = ""ACL"", url = ""https://aclanthology.org/W14-3628"", doi = ""10.3115/v1/W14-3628"", pages = ""207--216"",salloum2022unsupervised, title={Unsupervised Arabic dialect segmentation for machine translation}, author={Salloum, Wael and Habash, Nizar}, journal={Natural Language Engineering}, volume={28}, number={2}, pages={223--248}, year={2022}, publisher={Cambridge University Press}",bibbibbib
s0018,sn-article.tex,"In contrast to C4, mC4 \citep{bib13} , CC100 \citep{bib14}, OSCAR 22.01 \citep{bib15}, and RedPajama-V2 \citep{bib16} retain multilingual data during the cleaning process, utilizing different cleaning pipelines.",bib13;bib14;bib15;bib16,2402.18041,Datasets for Large Language Models: A Comprehensive Survey,bib13bib14bib15bib16,4,4,,,,,"Xue L, Constant N, Roberts A, Kale M, Al-Rfou R, Siddhant A, et al (2021) M{T}5: A massively multilingual pre-trained text-to-text {T}ransformer. In: Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies. ACL, pp 483--498, \doi{10.18653/v1/2021.naacl-main.41}Conneau A, Khandelwal K, Goyal N, Chaudhary V, Wenzek G, Guzm{\'a}n F, et al (2020) Unsupervised cross-lingual representation learning at scale. In: Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics. ACL, pp 8440--8451, \doi{10.18653/v1/2020.acl-main.747}Abadji J, Ortiz Suarez P, Romary L, Sagot B (2022) Towards a cleaner document-oriented multilingual crawled corpus. In: Proceedings of the Thirteenth Language Resources and Evaluation Conference. ELRA, Marseille, France, pp 4344--4355Together (2023) {RedPajama-Data-v2}: An open dataset with 30 trillion tokens for training large language models. \url{https://www.together.ai/blog/redpajama-data-v2}",bblbblbblbbl
s0019,sn-article.tex,"If \textit{P} logically entails \textit{H}, it is categorized as “Entailment”; if \textit{P} and \textit{H} are logically contradictory, it is categorized as “Contradiction”; if there is no discernible logical connection or contradiction between \textit{P} and \textit{H}, it is categorized as “Neutral.” In some instances, the latter two scenarios are combined into “Non-Entailment.” For example, RTE \citep{bib321,bib322,bib323,bib324} integrates a portion of the Recognizing Textual Entailment cha","bib321,bib322,bib323,bib324;bib327;bib330",2402.18041,Datasets for Large Language Models: A Comprehensive Survey,bib321bib322bib323bib324bib327bib330,6,6,,,,,"Dagan I, Glickman O, Magnini B (2006) The {PASCAL} recognising textual entailment challenge. In: Qui{\ {n}}onero-Candela J, Dagan I, Magnini B, d'Alch{\'e} Buc F (eds) Machine Learning Challenges. Evaluating Predictive Uncertainty, Visual Object Classification, and Recognising Tectual Entailment. Springer Berlin Heidelberg, Berlin, Heidelberg, pp 177--190Bar-Haim R, Dagan I, Dolan B, Ferro L, Giampiccolo D, Magnini B, et al (2006) The second {PASCAL} recognising textual entailment challenge. \urlprefix\url{https://api.semanticscholar.org/CorpusID:13385138}Giampiccolo D, Magnini B, Dagan I, Dolan B (2007) The third {PASCAL} recognizing textual entailment challenge. In: Sekine S, Inui K, Dagan I, Dolan B, Giampiccolo D, Magnini B (eds) Proceedings of the {ACL}-{PASCAL} Workshop on Textual Entailment and Paraphrasing. ACL, Prague, pp 1--9Bentivogli L, Clark P, Dagan I, Giampiccolo D (2009) The fifth {PASCAL} recognizing textual entailment challenge. TAC 7:8De Marneffe MC, Simons M, Tonhauser J (2019) The {CommitmentBank}: Investigating projection in naturally occurring discourse. In: proceedings of Sinn und Bedeutung, pp 107--124Hu H, Richardson K, Xu L, Li L, K{\""u}bler S, Moss L (2020) {OCNLI}: {O}riginal {C}hinese natural language inference. In: Cohn T, He Y, Liu Y (eds) Findings of the Association for Computational Linguistics: EMNLP 2020. ACL, pp 3512--3526, \doi{10.18653/v1/2020.findings-emnlp.314}",bblbblbblbblbblbbl
