arxiv_id,title
2011.11819,When Machine Learning Meets Privacy: A Survey and Outlook
1807.07984,Attention Models in Graphs: A Survey
2004.11138,The Creation and Detection of Deepfakes: A Survey
1807.02811,A Tutorial on Bayesian Optimization
2302.03883,Multimodal Recommender Systems: A Survey
2310.14021,Survey of Vector Database Management Systems
1807.05511,Object Detection with Deep Learning: A Review
1912.12033,Deep Learning for 3D Point Clouds: A Survey
1802.03601,Deep Visual Domain Adaptation: A Survey
1912.09789,A Survey on Distributed Machine Learning
2403.10249,"A Survey on Game Playing Agents and Large Models: Methods, Applications, and Challenges"
0706.3188,A tutorial on conformal prediction
2103.14636,A Practical Survey on Faster and Lighter Transformers
2201.05867,Transferability in Deep Learning: A Survey
2203.15876,Self-Supervised Learning for Recommender Systems: A Survey
1511.04854,A Survey of Heterogeneous Information Network Analysis
1802.02871,Online Learning: A Comprehensive Survey
1906.04928,Deep Learning for Spatio-Temporal Data Mining: A Survey
2003.03600,Reinforcement Learning for Combinatorial Optimization: A Survey
1705.02801,"Graph Embedding Techniques, Applications, and Performance: A Survey"
2006.05132,"A Survey on Generative Adversarial Networks: Variants, Applications, and Training"
2101.05278,GAN Inversion: A Survey
2205.06743,"A Comprehensive Survey of Few-shot Learning: Evolution, Applications, Challenges, and Opportunities"
2005.06247,Explainable Reinforcement Learning: A Survey
2001.05566,Image Segmentation Using Deep Learning: A Survey
2009.13303,Sim-to-Real Transfer in Deep Reinforcement Learning for Robotics: a Survey
2102.04906,Dynamic Neural Networks: A Survey
2009.07888,Transfer Learning in Deep Reinforcement Learning: A Survey
1304.5634,A Survey on Multi-view Learning
2106.07178,A Comprehensive Survey on Graph Anomaly Detection with Deep Learning
2103.04931,Monte Carlo Tree Search: A Review of Recent Modifications and Applications
2401.02524,Comprehensive Exploration of Synthetic Data Generation: A Survey
1811.11839,A Multidisciplinary Survey and Framework for Design and Evaluation of Explainable AI Systems
2002.05786,Deep Learning for Financial Applications : A Survey
2210.16484,A Systematic Survey of Chemical Pre-trained Models
1910.02923,A Survey on Active Learning and Human-in-the-Loop Deep Learning for Medical Image Analysis
2407.20018,Efficient Training of Large Language Models on Distributed Infrastructures: A Survey
2008.08612,A Survey on Text Simplification
2307.03759,"A Survey on Graph Neural Networks for Time Series: Forecasting, Classification, Imputation, and Anomaly Detection"
2303.14483,Spatio-Temporal Graph Neural Networks for Predictive Learning in Urban Computing: A Survey
2405.10347,Networking Systems for Video Anomaly Detection: A Tutorial and Survey
2101.06286,Reinforcement learning based recommender systems: A survey
2010.15277,Class-incremental learning: survey and performance evaluation on image classification
2404.04834,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead"
2010.03240,Bias and Debias in Recommender System: A Survey and Future Directions
2412.03563,From Individual to Society: A Survey on Social Simulation Driven by Large Language Model-based Agents
2503.23350,A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models
2011.08641,A Review of Generalized Zero-Shot Learning Methods
2010.05137,An Open Review of OpenReview: A Critical Analysis of the Machine Learning Conference Review Process
2102.08942,A Survey on Locality Sensitive Hashing Algorithms and their Applications
2103.00070,Knowledge-aware Zero-Shot Learning: Survey and Perspective
2101.09429,Explainable Artificial Intelligence Approaches: A Survey
2202.06862,Threats to Pre-trained Language Models: Survey and Taxonomy
2204.08570,"A Comprehensive Survey on Trustworthy Graph Neural Networks: Privacy, Robustness, Fairness, and Explainability"
1806.00186,"Video Description: A Survey of Methods, Datasets and Evaluation Metrics"
1907.09693,"A Survey on Federated Learning Systems: Vision, Hype and Reality for Data Privacy and Protection"
2204.09888,Fairness in Graph Mining: A Survey
2303.02213,"Backdoor Attacks and Defenses in Federated Learning: Survey, Challenges and Future Research Directions"
2308.14367,A Comprehensive Overview of Backdoor Attacks in Large Language Models within Communication Networks
0504061,Summarization from Medical Documents: A Survey
2404.02525,Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead
2203.14263,A General Survey on Attention Mechanisms in Deep Learning
2203.14500,MolGenSurvey: A Systematic Survey in Machine Learning Models for Molecule Design
1706.03446,Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis
2403.14473,The Ethics of ChatGPT in Medicine and Healthcare: A Systematic Review on Large Language Models (LLMs)
2111.06420,Explainable AI (XAI): A Systematic Meta-Survey of Current Challenges and Future Opportunities
2009.06520,A Systematic Literature Review on the Use of Deep Learning in Software Engineering Research
2404.00579,A Review of Modern Recommender Systems Using Generative Models (Gen-RecSys)
1810.05587,A Survey and Critique of Multiagent Deep Reinforcement Learning
2310.08879,A Critical Review of Large Language Model on Software Engineering: An Example from ChatGPT and Automated Program Repair
2010.03522,A Survey of Deep Meta-Learning
2506.04133,"TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems"
1810.03548,Meta-Learning: A Survey
1908.03963,A Review of Cooperative Multi-Agent Deep Reinforcement Learning
2211.09124,A Review of Intelligent Music Generation Systems
