arxiv_id,title,published
2604.00626,A Survey of On-Policy Distillation for Large Language Models,2026-04-01
2603.27960,Towards Efficient Large Vision-Language Models: A Comprehensive Survey on Inference Strategies,2026-03-30
2606.28362,LUMEN: Cost-Transparent Multi-Agent Pipeline for Automated Systematic Review and Meta-Analysis,2026-03-29
2603.24857,AI Security in the Foundation Model Era: A Comprehensive Survey from a Unified Perspective,2026-03-25
2603.24767,Fine-Tuning A Large Language Model for Systematic Review Screening,2026-03-25
2604.16380,Data Mixing for Large Language Models Pretraining: A Survey and Outlook,2026-03-25
2604.14165,EviSearch: A Human in the Loop System for Extracting and Auditing Clinical Evidence for Systematic Reviews,2026-03-23
2603.22386,From Static Templates to Dynamic Runtime Graphs: A Survey of Workflow Optimization for LLM Agents,2026-03-23
2604.08559,Medical Reasoning with Large Language Models: A Survey and MR-Bench,2026-03-17
2603.05723,Cultural Perspectives and Expectations for Generative AI: A Global Survey Approach,2026-03-05
2603.04592,From Static Inference to Dynamic Interaction: A Survey of Streaming Large Language Models,2026-03-04
2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide,2026-03-01
2603.04445,Dynamic Model Routing and Cascading for Efficient LLM Inference: A Survey,2026-02-23
2602.19598,Eye-Tracking-while-Reading: A Living Survey of Datasets with Open Library Support,2026-02-23
2602.10138,"Multimodal Information Fusion for Chart Understanding: A Survey of MLLMs -- Evolution, Limitations, and Cognitive Enhancement",2026-02-08
2603.03300,Benchmarking Legal RAG: The Promise and Limits of AI Statutory Surveys,2026-02-07
2602.05628,AI chatbots versus human healthcare professionals: a systematic review and meta-analysis of empathy in patient care,2026-02-05
2602.08145,Reliable and Responsible Foundation Models: A Comprehensive Survey,2026-02-04
2601.22240,A Systematic Literature Review on LLM Defenses Against Prompt Injection and Jailbreaking: Expanding NIST Taxonomy,2026-01-29
2602.15866,NLP Privacy Risk Identification in Social Media (NLP-PRISM): A Survey,2026-01-26
2601.18234,"Generative AI in Saudi Arabia: A National Survey of Adoption, Risks, and Public Perceptions",2026-01-26
2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey,2026-01-23
2602.15845,KD4MT: A Survey of Knowledge Distillation for Machine Translation,2026-01-22
2601.17058,Can LLMs Clean Up Your Mess? A Survey of Application-Ready Data Preparation with LLMs,2026-01-22
2601.14004,"Locate, Steer, and Improve: A Practical Survey of Actionable Mechanistic Interpretability in Large Language Models",2026-01-20
2602.11175,"Barriers to Discrete Reasoning with Transformers: A Survey Across Depth, Exactness, and Bandwidth",2026-01-19
2601.12945,A Component-Based Survey of Interactions between Large Language Models and Multi-Armed Bandits,2026-01-19
2601.11655,Advances and Frontiers of LLM-based Issue Resolution in Software Engineering: A Comprehensive Survey,2026-01-15
