key,year,title,url
ma-etal-2026-towards,2026,Towards Unified Multimodal Large Language Models: A survey,https://aclanthology.org/2026.findings-acl.1853/
jiang-etal-2026-towards,2026,Towards Efficient Large Language Model Serving: A Survey on System-Aware {KV} Cache Optimization,https://aclanthology.org/2026.findings-acl.1916/
luo-etal-2026-storage,2026,From Storage to Experience: A Survey on the Evolution of {LLM} Agent Memory Mechanisms,https://aclanthology.org/2026.findings-acl.2069/
orrego-carmona-etal-2026-reaching,2026,Reaching multilingual communities: a survey mapping {MT} use in the West Midlands ({UK}) third and public sector organisations,https://aclanthology.org/2026.eamt-1.38/
ilkilic-etal-2026-automatic,2026,Automatic translation in public services: A survey of the {F}innish public sector,https://aclanthology.org/2026.eamt-1.45/
ma-etal-2026-text,2026,Text-to-Text Automatic Story Generation: A Survey,https://aclanthology.org/2026.eacl-srw.39/
bucur-etal-2026-survey,2026,A Survey on Multilingual Mental Disorders Detection from Social Media Data,https://aclanthology.org/2026.eacl-long.39/
krasnodebska-etal-2026-safety,2026,"Safety of Large Language Models Beyond {E}nglish: A Systematic Literature Review of Risks, Biases, and Safeguards",https://aclanthology.org/2026.eacl-long.44/
yuan-etal-2026-barriers,2026,"Barriers to Discrete Reasoning with Transformers: A Survey Across Depth, Exactness, and Bandwidth",https://aclanthology.org/2026.eacl-long.87/
romberg-etal-2026-reassessing,2026,Reassessing Active Learning Adoption in Contemporary {NLP}: A Community Survey,https://aclanthology.org/2026.eacl-long.120/
costache-etal-2026-text,2026,Text Classification Under Class Distribution Shift: A Survey,https://aclanthology.org/2026.eacl-long.189/
ni-etal-2026-survey,2026,A Survey on {LLM}-based Conversational User Simulation,https://aclanthology.org/2026.eacl-long.200/
karamolegkou-etal-2026-nlp,2026,"{NLP} for Social Good: A Survey and Outlook of Challenges, Opportunities and Responsible Deployment",https://aclanthology.org/2026.eacl-long.238/
schoch-2026-derived,2026,Derived Text Formats as Strategic Transformations of In-Copyright Materials to Support Open Science: A Survey,https://aclanthology.org/2026.dtf-1.1/
yang-etal-2026-annotation,2026,"Annotation Tools for Language Documentation: A Survey of Capabilities, Gaps, and Morphological Support",https://aclanthology.org/2026.computel-1.9/
molino-pinar-etal-2026-automatic,2026,Automatic Generation of Discharge Summaries Using Large Language Models: A Systematic Literature Review,https://aclanthology.org/2026.clinicalnlp-1.9/
thompson-etal-2026-evaluating,2026,Evaluating Professional Acceptability of {LLM}-Generated Systematic Review Summaries in Healthcare: Psychiatrists' Perspectives,https://aclanthology.org/2026.cl4health-1.18/
alharbi-stevenson-2026-nlp,2026,Can {NLP} Models Detect When One Publication Outweighs Twenty? Predicting Systematic Review Conclusion Changes,https://aclanthology.org/2026.bionlp-1.68/
tzachristas-tzachristas-2026-natural,2026,From Natural Language to Certified Geometry Proofs: A Survey of {LLM}-Augmented Verification and Neuro-Symbolic Theorem Proving,https://aclanthology.org/2026.bigpicture-main.1/
tzachristas-etal-2026-open,2026,Open Problems Solved by {LLM}s? A Survey of Verifiable Mathematical Discovery,https://aclanthology.org/2026.bigpicture-main.2/
liang-etal-2026-survey,2026,"A Survey of Automated Presentation Coaching: Systems, Methods, and Open Challenges",https://aclanthology.org/2026.bea-1.4/
gaudeau-etal-2026-incentives,2026,Incentives Of {E}d{T}ech: A Systematic Review Of {E}du{NLP} Research,https://aclanthology.org/2026.bea-1.50/
dmonte-etal-2026-claim,2026,Claim Verification in the Age of Large Language Models: A Survey,https://aclanthology.org/2026.acl-srw.2/
saha-etal-2026-reference,2026,Reference-Free Schema Generation for Literature Review Tables via Multi-Faceted Rewards,https://aclanthology.org/2026.acl-srw.111/
ma-etal-2026-intragent,2026,{I}ntr{A}gent: An {LLM} Agent for Content-Grounded Information Retrieval through Literature Review,https://aclanthology.org/2026.acl-long.29/
zheng-etal-2026-comprehensive,2026,"A Comprehensive Survey of Process Reward Models: Data Generation, Model Construction, and Usage",https://aclanthology.org/2026.acl-long.163/
kumar-etal-2026-looking,2026,Looking at Radiology Report Generation through a Causal Lens: A Survey,https://aclanthology.org/2026.acl-long.186/
gao-etal-2026-scaling,2026,Scaling Beyond Context: A Survey of Multimodal Retrieval-Augmented Generation for Document Understanding,https://aclanthology.org/2026.acl-long.204/
yuan-etal-2026-reducing,2026,Reducing Token Redundancy in {LVLM}s: A Systematic Review of Token Pruning Methods,https://aclanthology.org/2026.acl-long.328/
xi-etal-2026-survey,2026,A Survey of Large Language Model-Based Search Agents,https://aclanthology.org/2026.acl-long.374/
sheth-etal-2026-beyond,2026,Beyond Monolingual Assumptions: A Survey on Code-Switched {NLP} in the Era of Large Language Models across Modalities,https://aclanthology.org/2026.acl-long.386/
kumar-etal-2026-bhashasutra,2026,"{B}hasha{S}utra: A Task-Centric Unified Survey of {I}ndian {NLP} Datasets, Corpora, and Resources",https://aclanthology.org/2026.acl-long.551/
zhou-etal-2026-table,2026,"Table Question Answering in the Era of Large Language Models: A Comprehensive Survey of Tasks, Methods, and Evaluation",https://aclanthology.org/2026.acl-long.557/
hu-etal-2026-towards,2026,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures",https://aclanthology.org/2026.acl-long.889/
yu-etal-2026-survey,2026,A Survey of Reinforcement Learning for Large Language Models under Data Scarcity: Challenges and Solutions,https://aclanthology.org/2026.acl-long.1045/
piryani-etal-2026-high,2026,It{'}s High Time: A Survey of Temporal Question Answering,https://aclanthology.org/2026.acl-long.1332/
schreieder-etal-2026-attribution,2026,"Attribution, Citation, and Quotation: A Survey of Evidence-based Text Generation with Large Language Models",https://aclanthology.org/2026.acl-long.1430/
chen-etal-2026-survey,2026,A Survey of Inductive Reasoning for Large Language Models,https://aclanthology.org/2026.acl-long.1447/
wu-etal-2026-ai,2026,"Can {AI} Be a Good Peer Reviewer? A Survey of Peer Review Process, Evaluation, and the Future",https://aclanthology.org/2026.acl-long.1504/
gao-etal-2026-towards-intrinsic,2026,Towards Intrinsic Interpretability of Large Language Models: A Survey of Design Principles and Architectures,https://aclanthology.org/2026.acl-long.1605/
ma-etal-2026-survey,2026,A Survey of Deep Learning for Geometry Problem Solving,https://aclanthology.org/2026.acl-long.1829/
ni-etal-2026-sign,2026,"Sign-Language Datasets at Scale: A Comprehensive Survey on Resources, Benchmarks, and Annotation Standards",https://aclanthology.org/2026.acl-long.1928/
wei-etal-2026-survey,2026,A Survey of Reasoning-Intensive Retrieval: Progress and Challenges,https://aclanthology.org/2026.acl-long.1949/
yang-etal-2026-survey-multimodal,2026,"A Survey of Multimodal Mathematical Reasoning: From Perception, Alignment to Reasoning",https://aclanthology.org/2026.acl-long.1961/
wang-etal-2026-survey,2026,A Survey of Large Language Models for Text-Guided Molecular Discovery: From Molecule Generation to Optimization,https://aclanthology.org/2026.acl-long.2026/
dong-etal-2026-revealing,2026,"Revealing the Seen, Imagining the Beyond: A Survey of Image-Grounded Chain-of-Thought Reasoning in Multimodal {LLM}s",https://aclanthology.org/2026.acl-long.2087/
chen-etal-2026-jarvis,2026,{JARVIS} or Ultron? A Survey on the Safety and Security Threats of Computer-Using Agents,https://aclanthology.org/2026.acl-long.2106/
yao-yu-2026-llm,2026,{LLM}-Based Multi-Agent Systems for Clinical Workflows: A Survey of {AI} Hospitals,https://aclanthology.org/2026.acl-long.2123/
wang-etal-2026-words,2026,From Words to Pixels: A Comprehensive Survey on Large Language Models in Visual Segmentation,https://aclanthology.org/2026.acl-long.2155/
wang-etal-2025-web,2025,Web(er) of Hate: A Survey on How Hate Speech Is Typed,https://aclanthology.org/2025.woah-1.9/
dias-sumanathilaka-2025-systematic,2025,A Systematic Review on Machine Translation and Transliteration Techniques for Code-Mixed {I}ndo-{A}ryan Languages,https://aclanthology.org/2025.wat-1.6/
wen-etal-2025-know,2025,Know Your Limits: A Survey of Abstention in Large Language Models,https://aclanthology.org/2025.tacl-1.26/
liu-etal-2025-culturally,2025,Culturally Aware and Adapted {NLP}: A Taxonomy and a Survey of the State of the Art,https://aclanthology.org/2025.tacl-1.31/
peled-cohen-reichart-2025-systematic,2025,"A Systematic Review of {NLP} for Dementia: Tasks, Datasets, and Opportunities",https://aclanthology.org/2025.tacl-1.56/
gari-soler-etal-2025-potentially,2025,Potentially Problematic Word Usages and How to Detect Them: A Survey,https://aclanthology.org/2025.starsem-1.35/
lamsiyah-etal-2025-trust,2025,Trust but Verify: A Comprehensive Survey of Faithfulness Evaluation Methods in Abstractive Text Summarization,https://aclanthology.org/2025.ranlp-1.74/
nguyen-etal-2025-survey,2025,A Survey on Small Language Models,https://aclanthology.org/2025.ranlp-1.93/
vats-etal-2025-systematic,2025,"A Systematic Survey of Quantum Natural Language Processing: Models, Encoding Paradigms, and Evaluation Methods",https://aclanthology.org/2025.quantumnlp-1.8/
phukan-ekbal-2025-survey,2025,A Survey of Quantum Natural Language Processing: From Compositional Models to {NISQ}-Era Empiricism,https://aclanthology.org/2025.quantumnlp-1.9/
shirafuji-etal-2025-empirical,2025,An Empirical Survey of Model Merging Algorithms for Social Bias Mitigation,https://aclanthology.org/2025.paclic-1.24/
d-lewis-etal-2025-tapping,2025,Tapping into Social Media in Crisis: A Survey,https://aclanthology.org/2025.nlp4pi-1.27/
haider-etal-2025-quantification,2025,Quantification of Biodiversity from Historical Survey Text with {LLM}-based Best-Worst-Scaling,https://aclanthology.org/2025.nlp4ecology-1.13/
zhang-2025-bridging,2025,Bridging Multimodal and Video Summarization: A Unified Survey,https://aclanthology.org/2025.newsum-main.11/
fu-2025-survey,2025,A Survey of {QUD} Models for Discourse Processing,https://aclanthology.org/2025.naacl-long.84/
jiang-etal-2025-towards,2025,Towards Rationality in Language and Multimodal Agents: A Survey,https://aclanthology.org/2025.naacl-long.186/
li-etal-2025-prompt,2025,Prompt Compression for Large Language Models: A Survey,https://aclanthology.org/2025.naacl-long.368/
dahan-stanovsky-2025-state,2025,The State and Fate of Summarization Datasets: A Survey,https://aclanthology.org/2025.naacl-long.372/
liu-best-2025-survey,2025,A Survey of {NLP} Progress in {S}ino-{T}ibetan Low-Resource Languages,https://aclanthology.org/2025.naacl-long.396/
otani-etal-2025-natural,2025,Natural Language Processing for Human Resources: A Survey,https://aclanthology.org/2025.naacl-industry.47/
mititelu-etal-2025-survey,2025,Survey on Lexical Resources Focused on Multiword Expressions for the Purposes of {NLP},https://aclanthology.org/2025.mwe-1.6/
jimenez-crespo-rodriguez-2025-ai,2025,Is it {AI} or {PE} that worry translation professionals: results from a Human-Centered {AI} survey,https://aclanthology.org/2025.mtsummit-1.32/
anikina-etal-2025-building,2025,Building Common Ground in Dialogue: A Survey,https://aclanthology.org/2025.luhme-1.2/
wang-etal-2025-bring,2025,Bring Your Own Knowledge: A Survey of Methods for {LLM} Knowledge Expansion,https://aclanthology.org/2025.l2m2-1.12/
xu-etal-2025-better,2025,Better Aligned with Survey Respondents or Training Data? Unveiling Political Leanings of {LLM}s on {U}.{S}. {S}upreme {C}ourt Cases,https://aclanthology.org/2025.l2m2-1.16/
